"","term","taxon","rank","formula","estimate","std.error","statistic","p.value","p.adj.BY.rank","avg_abundance_SAM","avg_abundance_Stunting","prevalence_SAM","prevalence_Stunting"
"1","mal.typeStunting","Helicobacter","Genus","`Helicobacter`~mal.type",1.40134556022752,0.729076629994431,1.92208267632749,0.0583937444323492,1,6.19281967991398e-05,0.001759732002023,0.0833333333333333,0.264150943396226
"2","mal.typeStunting","Campylobacter","Genus","`Campylobacter`~mal.type",-1.03964187854349,0.73767610702843,-1.40934736619228,0.162865497656978,1,0.00216448727583854,0.00055148809009136,0.375,0.283018867924528
"3","mal.typeStunting","Bdellovibrio","Genus","`Bdellovibrio`~mal.type",-0.158572842752108,0.105844799847873,-1.49816375466739,0.138287979072541,1,8.6571092180899e-06,0,0.0416666666666667,0
"4","mal.typeStunting","TM7x","Genus","`TM7x`~mal.type",0.739093903161264,0.323042320525187,2.28791664807162,0.0249617263414433,0.962532047233944,0,5.28672040110349e-05,0,0.207547169811321
"5","mal.typeStunting","Prevotella_7","Genus","`Prevotella_7`~mal.type",-0.940520113592151,1.03565375657753,-0.908141459072417,0.366712378749659,1,0.0296896150269156,0.00346247174777015,0.541666666666667,0.679245283018868
"6","mal.typeStunting","Prevotella","Genus","`Prevotella`~mal.type",-1.06277683077008,0.933484497898183,-1.13850506694327,0.25853330175504,1,0.00822754825325852,0.00151757062876369,0.458333333333333,0.547169811320755
"7","mal.typeStunting","Prevotellaceae Family","Genus","`Prevotellaceae Family`~mal.type",-0.664018997744696,0.35534179773548,-1.86867686823321,0.0655727200859537,1,0.000245886886914647,3.04797113276372e-05,0.125,0.0188679245283019
"8","mal.typeStunting","Prevotella_9","Genus","`Prevotella_9`~mal.type",-1.1129645575617,0.406546222671055,-2.73760890028542,0.00772483522390417,0.409574116438965,0.000877453773916731,1.0214890654703e-05,0.208333333333333,0.0188679245283019
"9","mal.typeStunting","Prevotellaceae NK3B31 group","Genus","`Prevotellaceae NK3B31 group`~mal.type",-0.29154566648048,0.395617928339066,-0.736937447967752,0.463459498225018,1,0.00128700128700129,0.000132767612936094,0.0416666666666667,0.0188679245283019
"10","mal.typeStunting","Alloprevotella","Genus","`Alloprevotella`~mal.type",1.5773933115499,0.961002558859737,1.6414038620475,0.104900796924176,1,0.011371655704092,0.00404907030843466,0.333333333333333,0.773584905660377
"11","mal.typeStunting","Bacteroides","Genus","`Bacteroides`~mal.type",1.71365312000766,0.742798562124604,2.30702266723047,0.0238154946768399,0.954458913060463,0.000261879795507859,0.00191178814630205,0.125,0.433962264150943
"12","mal.typeStunting","Porphyromonas","Genus","`Porphyromonas`~mal.type",0.442044759736388,0.880588795436532,0.501987717794268,0.617146731691085,1,0.00391342919245181,0.00199217038874692,0.458333333333333,0.622641509433962
"13","mal.typeStunting","F0058","Genus","`F0058`~mal.type",0.197835206034696,0.177948967052515,1.11175248337526,0.269795719088348,1,0,1.27225242813301e-05,0,0.0566037735849057
